@everyone,ChillBot,24/7 🔊 | premium,24/7 🔊 | staging,Collab.Land,24/7 🔊,discord-audit,sesh,Owlets,IC2.0 - #6 Culture Purpose People,IC2.0 - #6 Representation and Diversity Domain Experts,IC2.0 - #5 Future of Engineering & Product Domain Expert,IC2.0 - #4 Methodologist - Partnering with Index Coop,IC2.0 - #3 Leadership & Governance,IC2.0 - #2 token distribution Domain Experts,IC2.0 - #1 Future of Finance Domain Expert,IC2.0 - Index 2.0 stewards,Price Bots,FLIDiscordBot,new role,Women Dream Team,APAC BD Team,APAC,1kx,FLI fee split team,Market research team,LangOps WG,DOWLs,Product WG,Engineering WG,BD WG,POC WG,Meta-governance team,Treasury WG,Funding Council,wizard,analytics-wizards,interns,Server Booster,Copper Owls,Bronze Owls,Silver Owls,Gold Owls,Working Group Leads,Blue Owls,AMA moderator,Governance Reps,Community Facilitators,Community Managers,Hooty,Server Manager,Titans of Data,DeFi Pulse,Index SourceCred,Set Team,Dyno,carl-bot,MEE6,Zapier,Gas bot,FLI bots,Index Bots,Xenon,admin bot,Moderator
magix,,,,,,,,NipseyHodl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larkspur,TeeWhy,Static121,,,,,,,,,,,,,,,,,,,,,,,
filocars865,,,,,,,,ash egan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pseudoboss,Alks,DocHabanero,,,,,,,,,,,,,,,,,,,,,,,
Vector,,,,,,,,Nerz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khaleb,Don | ETH to 10k,theshark,,,,,,,,,,,,,,,,,,,,,,,
heavycrag,,,,,,,,roby1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MrGreat,Maxxx8,kiba,,,,,,,,,,,,,,,,,,,,,,,
vspac,,,,,,,,Opaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tridev,Deep,caf,,,,,,,,,,,,,,,,,,,,,,,
enrey,,,,,,,,juj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fede,bax86,mestigoit,,,,,,,,,,,,,,,,,,,,,,,
remholic,,,,,,,,greengrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AyodeleSolomon,ajay55,,,,,,,,,,,,,,,,,,,,,,,,
mhon,,,,,,,,tklocanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edwardk,Peeps,,,,,,,,,,,,,,,,,,,,,,,,
NipseyHodl,,,,,,,,blockchain4ever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gel,JC212,,,,,,,,,,,,,,,,,,,,,,,,
ash egan,,,,,,,,citizen42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danilo_dg,sixtykeys,,,,,,,,,,,,,,,,,,,,,,,,
Nerz,,,,,,,,swampcabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShadowBladeZ,Crypto_Texan,,,,,,,,,,,,,,,,,,,,,,,,
roby1616,,,,,,,,0xNETOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chunk,sver,,,,,,,,,,,,,,,,,,,,,,,,
Opaque,,,,,,,,Wannabee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gluclose,earth_maze,,,,,,,,,,,,,,,,,,,,,,,,
juj,,,,,,,,Norsefire (for Adventurers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snackjackson,earth2travis,,,,,,,,,,,,,,,,,,,,,,,,
greengrass,,,,,,,,ela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sophie | {,takeeacy,,,,,,,,,,,,,,,,,,,,,,,,
tklocanas,,,,,,,,risky2risky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,granddaddycool,Gottlieb,,,,,,,,,,,,,,,,,,,,,,,,
blockchain4ever,,,,,,,,WMF74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfm,radioflyerMQ,,,,,,,,,,,,,,,,,,,,,,,,
citizen42,,,,,,,,nicknapat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,duffaluffaguss,cryptouf,,,,,,,,,,,,,,,,,,,,,,,,
swampcabbage,,,,,,,,Esusmoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomjes,Hammad1412,,,,,,,,,,,,,,,,,,,,,,,,
0xNETOG,,,,,,,,Yung Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JMT NFT,sidhemraj,,,,,,,,,,,,,,,,,,,,,,,,
nylorac,,,,,,,,Mind_Your_Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto_Lafayette,Zeb,,,,,,,,,,,,,,,,,,,,,,,,
Wannabee,,,,,,,,Vesuvius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KaChing,RonaldPhone | elmit-ai.eth,,,,,,,,,,,,,,,,,,,,,,,,
Norsefire (for Adventurers),,,,,,,,young_anarchist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Léo.ngmi,theyoungcrews,,,,,,,,,,,,,,,,,,,,,,,,
ela,,,,,,,,Aivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,berry farm,Julien I bloom.fi 𑁍,,,,,,,,,,,,,,,,,,,,,,,,
risky2risky,,,,,,,,gledika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonseodion,rootulp,,,,,,,,,,,,,,,,,,,,,,,,
chousean,,,,,,,,Cryptocurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diceman,ql,,,,,,,,,,,,,,,,,,,,,,,,
WMF74,,,,,,,,BitOffer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,layseng,pilkster,,,,,,,,,,,,,,,,,,,,,,,,
MikeHaynes,,,,,,,,Poor_Rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eshita,lee0007,,,,,,,,,,,,,,,,,,,,,,,,
nicknapat,,,,,,,,paulapivat 🏴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juliancanderson,miza 6,,,,,,,,,,,,,,,,,,,,,,,,
fabien,,,,,,,,epitome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JMoss,anthonybowman,,,,,,,,,,,,,,,,,,,,,,,,
Esusmoto,,,,,,,,d0zer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poopster,liquiditat,,,,,,,,,,,,,,,,,,,,,,,,
newbateni,,,,,,,,andrejfiliev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xLee,insidetrader,,,,,,,,,,,,,,,,,,,,,,,,
maurovecc,,,,,,,,RenRen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JamesEquity,aehrenberg,,,,,,,,,,,,,,,,,,,,,,,,
XCR,,,,,,,,lowkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Krispy,Ahuja,,,,,,,,,,,,,,,,,,,,,,,,
Yung Coco,,,,,,,,Socrates0x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alks,jonah,,,,,,,,,,,,,,,,,,,,,,,,
frances,,,,,,,,dmoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,djptr,jackiepoo,,,,,,,,,,,,,,,,,,,,,,,,
Mind_Your_Head,,,,,,,,carvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swan,,,,,,,,,,,,,,,,,,,,,,,,,
Vesuvius,,,,,,,,SousChef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danfromholloway,,,,,,,,,,,,,,,,,,,,,,,,,
young_anarchist,,,,,,,,King Vegeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond,,,,,,,,,,,,,,,,,,,,,,,,,
Aivan,,,,,,,,nicolasb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nifty Ninja,,,,,,,,,,,,,,,,,,,,,,,,,
Oxie32,,,,,,,,Bo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmanFi,,,,,,,,,,,,,,,,,,,,,,,,,
zman,,,,,,,,tradalgucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayaz,,,,,,,,,,,,,,,,,,,,,,,,,
Darkitect,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JustinConley6,,,,,,,,,,,,,,,,,,,,,,,,,
gledika,,,,,,,,zutho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yours Truly,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurious,,,,,,,,Shoddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savastano,,,,,,,,,,,,,,,,,,,,,,,,,
BitOffer-Brown,,,,,,,,autopunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmperorPacha,,,,,,,,,,,,,,,,,,,,,,,,,
Poor_Rich,,,,,,,,PennyLane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell,,,,,,,,,,,,,,,,,,,,,,,,,
paulapivat 🏴,,,,,,,,DapsDeckard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bax86,,,,,,,,,,,,,,,,,,,,,,,,,
epitome,,,,,,,,Jonny D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CryptoNova311.eth,,,,,,,,,,,,,,,,,,,,,,,,,
CryptoTraveler,,,,,,,,Styx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peeps,,,,,,,,,,,,,,,,,,,,,,,,,
d0zer,,,,,,,,zootzoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jihad,,,,,,,,,,,,,,,,,,,,,,,,,
andrejfiliev,,,,,,,,antonsaber87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annika,,,,,,,,,,,,,,,,,,,,,,,,,
RenRen,,,,,,,,padzank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milan | WAGMI,,,,,,,,,,,,,,,,,,,,,,,,,
Xfile,,,,,,,,groun909363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sriram,,,,,,,,,,,,,,,,,,,,,,,,,
lowkey,,,,,,,,elimerf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto_Texan,,,,,,,,,,,,,,,,,,,,,,,,,
Socrates0x,,,,,,,,quin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seblavoie,,,,,,,,,,,,,,,,,,,,,,,,,
dmoney,,,,,,,,Sam0x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vic Vinegar,,,,,,,,,,,,,,,,,,,,,,,,,
daya,,,,,,,,ici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restingrichface,,,,,,,,,,,,,,,,,,,,,,,,,
carvas,,,,,,,,blurfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar,,,,,,,,,,,,,,,,,,,,,,,,,
SousChef,,,,,,,,Mabelark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeGreg,,,,,,,,,,,,,,,,,,,,,,,,,
King Vegeta,,,,,,,,Undersc_re JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,earth2travis,,,,,,,,,,,,,,,,,,,,,,,,,
nicolasb,,,,,,,,reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CryptoCFA,,,,,,,,,,,,,,,,,,,,,,,,,
Bo,,,,,,,,Marky Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cryptobenji,,,,,,,,,,,,,,,,,,,,,,,,,
tradalgucha,,,,,,,,Rawling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humblefish,,,,,,,,,,,,,,,,,,,,,,,,,
none,,,,,,,,0xRicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stefan.,,,,,,,,,,,,,,,,,,,,,,,,,
zutho,,,,,,,,mrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Hearn,,,,,,,,,,,,,,,,,,,,,,,,,
Shoddy,,,,,,,,Bly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,souravinsights.eth,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis102,,,,,,,,liaoqifu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!Sam | Tracer,,,,,,,,,,,,,,,,,,,,,,,,,
autopunk,,,,,,,,kryptobkk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tino,,,,,,,,,,,,,,,,,,,,,,,,,
PennyLane,,,,,,,,murt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike136,,,,,,,,,,,,,,,,,,,,,,,,,
DapsDeckard,,,,,,,,freeesoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammad1412,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny D,,,,,,,,buray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shivansh,,,,,,,,,,,,,,,,,,,,,,,,,
Styx,,,,,,,,roxthefox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Clean,,,,,,,,,,,,,,,,,,,,,,,,,
zootzoot,,,,,,,,expatdiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theyoungcrews,,,,,,,,,,,,,,,,,,,,,,,,,
antonsaber87,,,,,,,,Kurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sambit.eth,,,,,,,,,,,,,,,,,,,,,,,,,
padzank,,,,,,,,Loose_Improvements952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jommi,,,,,,,,,,,,,,,,,,,,,,,,,
groun909363,,,,,,,,Ponmile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rootulp,,,,,,,,,,,,,,,,,,,,,,,,,
point2focus,,,,,,,,cryptocrpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SmartestBeta,,,,,,,,,,,,,,,,,,,,,,,,,
FreshTendies🦈,,,,,,,,Gordal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ql,,,,,,,,,,,,,,,,,,,,,,,,,
elimerf,,,,,,,,Honya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crema,,,,,,,,,,,,,,,,,,,,,,,,,
jsando,,,,,,,,jhann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilkster,,,,,,,,,,,,,,,,,,,,,,,,,
quin,,,,,,,,JeanSaisRien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neilsingh,,,,,,,,,,,,,,,,,,,,,,,,,
Sam0x,,,,,,,,J.Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jed,,,,,,,,,,,,,,,,,,,,,,,,,
ici,,,,,,,,jbretro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevinparismusic,,,,,,,,,,,,,,,,,,,,,,,,,
blurfish,,,,,,,,El Presidente Of Smart Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mrowg,,,,,,,,,,,,,,,,,,,,,,,,,
Mabelark,,,,,,,,PoLseX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MurknAintEasy,,,,,,,,,,,,,,,,,,,,,,,,,
Solute,,,,,,,,SpartaRu1es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Brian,,,,,,,,,,,,,,,,,,,,,,,,,
mzw,,,,,,,,Grave Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,
bd,,,,,,,,Dana Logam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mrwitty,,,,,,,,,,,,,,,,,,,,,,,,,
bunsaad,,,,,,,,Harsh Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pels,,,,,,,,,,,,,,,,,,,,,,,,,
